职位,公司名,地点,薪酬,发布时间
商品期货研究员（期现结合方向）,恒泰期货股份有限公司,上海-浦东新区,0.7-1.2万/月,11-12
基金经理助理,益民基金管理有限公司北京分公司,北京-西城区,40-60万/年,11-12
研究部负责人,益民基金管理有限公司北京分公司,北京-西城区,60-100万/年,11-12
宏观策略分析师,益民基金管理有限公司北京分公司,北京-西城区,30-50万/年,11-12
金融工程岗位,益民基金管理有限公司北京分公司,北京-西城区,25-40万/年,11-12
债券研究员,益民基金管理有限公司北京分公司,北京-西城区,25-40万/年,11-12
行业研究员,益民基金管理有限公司北京分公司,北京-西城区,25-45万/年,11-12
交易部负责人,益民基金管理有限公司北京分公司,北京-西城区,40-60万/年,11-12
产品经理,益民基金管理有限公司北京分公司,北京-西城区,20-30万/年,11-12
北京分社《教师月刊》编辑,华东师范大学出版社有限公司,北京-朝阳区,8-10万/年,11-12
北京分社 图书编辑,华东师范大学出版社有限公司,异地招聘,6-8万/年,11-12
基教分社 基础教育数学教材编辑,华东师范大学出版社有限公司,上海-普陀区,5-6千/月,11-12
投资总监,浙江复聚投资管理有限公司,杭州-西湖区,1-3万/月,11-12
投资分析助理,浙江复聚投资管理有限公司,杭州-西湖区,0.8-1万/月,11-12
初级分析员（Junior Analyst）,德施利安资产管理（上海）股份有限公司,上海-长宁区,1.5-2万/月,11-12
实习初级分析员（Intern Junior Analyst）,德施利安资产管理（上海）股份有限公司,上海-长宁区,3-4.5千/月,11-12
首席风控官（CRO）,德施利安资产管理（上海）股份有限公司,上海-长宁区,10万以上/月,11-12
00488-证券基金高级研究员,上海诺亚金融服务有限公司,上海-杨浦区,1.5-2万/月,11-12
行业研究员,上海浙商博瑞资产管理研究咨询有限公司,上海-黄浦区,15-25万/年,11-12
投资经理,上海堃熙投资管理有限公司,上海,1-5万/月,11-12
机构销售（上海）,广发基金管理有限公司,上海-浦东新区,1.5-2.5万/月,11-12
互联网资深运营策划经理,广发基金管理有限公司,广州,1.5-2.5万/月,11-12
专户管理岗,广发基金管理有限公司,广州,1.5-2.5万/月,11-12
基金会计,广发基金管理有限公司,广州,20-30万/年,11-12
规划研究员,广发基金管理有限公司,广州-海珠区,20-30万/年,11-12
行业研究员（消费）,广发基金管理有限公司,广州,1.5-4万/月,11-12
行业研究员（消费）,广发基金管理有限公司,异地招聘,1.5-4万/月,11-12
债券交易员,广发基金管理有限公司,广州,20-30万/年,11-12
产品研究岗,广发基金管理有限公司,北京-西城区,1.5-2万/月,11-12
行业研究员（化工业）,广发基金管理有限公司,广州,1.5-4万/月,11-12
行业研究员（化工业）,广发基金管理有限公司,异地招聘,1.5-4万/月,11-12
行业研究员（化工业）,广发基金管理有限公司,异地招聘,1.5-4万/月,11-12
行业研究员（医药）,广发基金管理有限公司,广州,1.5-4万/月,11-12
行业研究员（医药）,广发基金管理有限公司,异地招聘,1.5-4万/月,11-12
行业研究员（医药）,广发基金管理有限公司,异地招聘,1.5-4万/月,11-12
行业研究员（传媒业）,广发基金管理有限公司,广州,1.5-4万/月,11-12
行业研究员（传媒业）,广发基金管理有限公司,异地招聘,1.5-4万/月,11-12
行业研究员（传媒业）,广发基金管理有限公司,异地招聘,1.5-4万/月,11-12
行业研究员（制造业）,广发基金管理有限公司,广州,1.5-2.5万/月,11-12
行业研究员（制造业）,广发基金管理有限公司,异地招聘,1.5-2.5万/月,11-12
行业研究员（制造业）,广发基金管理有限公司,异地招聘,1.5-2.5万/月,11-12
QDII海外研究员,广发基金管理有限公司,广州,1.5-3万/月,11-12
研究员,华宝证券有限责任公司,上海,1-2万/月,11-12
研究院各个领域大组组长,联讯证券股份有限公司,异地招聘,2.5-5万/月,11-12
研究院各个领域大组组长,联讯证券股份有限公司,北京-朝阳区,2.5-5万/月,11-12
销售总监、首席销售经理、销售经理,联讯证券股份有限公司,深圳,1-2.5万/月,11-12
销售总监、首席销售经理、销售经理,联讯证券股份有限公司,上海-浦东新区,1-2.5万/月,11-12
销售总监、首席销售经理、销售经理,联讯证券股份有限公司,北京-朝阳区,1-2.5万/月,11-12
行业高级分析师、分析师、分析师助理,联讯证券股份有限公司,深圳,1-2.5万/月,11-12
行业高级分析师、分析师、分析师助理,联讯证券股份有限公司,上海-浦东新区,1-2.5万/月,11-12
行业高级分析师、分析师、分析师助理,联讯证券股份有限公司,北京-朝阳区,1-2.5万/月,11-12
行业首席分析师/行业组长,联讯证券股份有限公司,深圳,2.5-5万/月,11-12
行业首席分析师/行业组长,联讯证券股份有限公司,上海-浦东新区,2.5-5万/月,11-12
行业首席分析师/行业组长,联讯证券股份有限公司,北京-朝阳区,2.5-5万/月,11-12
期货主观研究员,爱晖资产管理（上海）有限公司,上海-黄浦区,20-30万/年,11-12
证券研究员,爱晖资产管理（上海）有限公司,上海-黄浦区,20-30万/年,11-12
投资经理,爱晖资产管理（上海）有限公司,上海-黄浦区,15-30万/年,11-12
投资银行部-债券业务总监,爱建证券有限责任公司,上海,1-5万/月,11-12
资产管理总部-高级投资经理,爱建证券有限责任公司,上海,15-25万/年,11-12
财富管理业务部—产品经理,爱建证券有限责任公司,上海,10-15万/年,11-12
行业分析师,东北证券股份有限公司,异地招聘,,11-12
行业分析师,东北证券股份有限公司,异地招聘,,11-12
基金投资经理岗,东北证券股份有限公司,上海,,11-12
项目经理,东北证券股份有限公司,杭州,,11-12
高级项目经理,东北证券股份有限公司,北京,,11-12
销售助理,东北证券股份有限公司,上海,,11-12
大类资产配置类投资经理/投资经理助理,东北证券股份有限公司,上海,,11-12
（权益）研究部总经理,东北证券股份有限公司,上海,,11-12
项目经理（法务或风控）,东北证券股份有限公司,北京,,11-12
项目经理（法务或风控）,东北证券股份有限公司,杭州,,11-12
高级投资经理,东北证券股份有限公司,异地招聘,,11-12
投资经理,东北证券股份有限公司,上海,,11-12
结构融资部副总经理,东北证券股份有限公司,北京,,11-12
结构融资部副总经理,东北证券股份有限公司,上海,,11-12
资产证券化项目经理,东北证券股份有限公司,上海,,11-12
项目经理（资产管理）,东北证券股份有限公司,上海,,11-12
项目经理（法务或风控）,东北证券股份有限公司,上海,,11-12
场外衍生品销售岗,东北证券股份有限公司,上海,,11-12
场外衍生品投资经理,东北证券股份有限公司,上海,,11-12
会务岗,东北证券股份有限公司,上海,,11-12
战略规划岗,东北证券股份有限公司,上海,,11-12
机构销售经理,东北证券股份有限公司,深圳,,11-12
金融工程分析师,东北证券股份有限公司,上海,,11-12
宏观分析师,东北证券股份有限公司,上海,,11-12
固收分析师,东北证券股份有限公司,北京,,11-12
量化基金经理,广州红猫资产管理有限公司,广州-海珠区,80-100万/年,11-12
高级量化研究员,广州红猫资产管理有限公司,广州-海珠区,40-50万/年,11-12
高级客户经理,上海宽创国际文化科技股份有限公司,异地招聘,1-2万/月,11-12
股票量化投资经理,上海雷根资产管理有限公司,上海,3-4万/月,11-12
量化--交易员,上海雷根资产管理有限公司,上海,0.8-1.2万/月,11-12
高级分析师,上海鸿网电子商务有限公司,上海-嘉定区,1-1.5万/月,11-12
资讯研究员,上海鸿网电子商务有限公司,上海-嘉定区,0.6-1.2万/月,11-12
大金融行业研究员,东亚前海证券有限责任公司,深圳-福田区,20-30万/年,11-12
大金融行业研究员,东亚前海证券有限责任公司,异地招聘,20-30万/年,11-12
大消费股票研究员,高致（上海）投资管理有限公司,上海-浦东新区,20-30万/年,11-12
股票周期品行业研究员,高致（上海）投资管理有限公司,上海-浦东新区,20-30万/年,11-12
行业研究主管（股票二级市场，自下而上方向）,高致（上海）投资管理有限公司,上海-浦东新区,20-30万/年,11-12
网络推广经理,东莞证券股份有限公司,异地招聘,1-1.5万/月,11-11
市场推广经理,东莞证券股份有限公司,异地招聘,1-1.5万/月,11-11
债务融资总部-销售负责人,东莞证券股份有限公司,异地招聘,30-40万/年,11-11
债务融资总部-债券承揽承做岗,东莞证券股份有限公司,异地招聘,20-30万/年,11-11
债务融资总部-债券承揽承做岗,东莞证券股份有限公司,异地招聘,20-30万/年,11-11
债务融资总部-债券承揽承做岗,东莞证券股份有限公司,异地招聘,20-30万/年,11-11
固定收益部-资金融通岗,东莞证券股份有限公司,上海-浦东新区,0.8-1万/月,11-11
互联网营销经理,东莞证券股份有限公司,异地招聘,1-1.5万/月,11-11
互联网营销经理,东莞证券股份有限公司,异地招聘,1-1.5万/月,11-11
互联网金融平台运营岗,东莞证券股份有限公司,异地招聘,1-1.5万/月,11-11
互联网金融平台运营岗,东莞证券股份有限公司,异地招聘,1-1.5万/月,11-11
互联网运营岗,东莞证券股份有限公司,异地招聘,1-1.5万/月,11-11
互联网运营岗,东莞证券股份有限公司,异地招聘,1-1.5万/月,11-11
市场推广经理,东莞证券股份有限公司,异地招聘,1-1.5万/月,11-11
风险管理部-风险管理系统开发岗,东莞证券股份有限公司,异地招聘,20-35万/年,11-11
风险管理部-风险管理系统开发岗,东莞证券股份有限公司,异地招聘,20-35万/年,11-11
大消费行业研究员,上海度库资产管理合伙企业（有限合伙）,杭州,1-1.5万/月,11-11
反向研究员,上海度库资产管理合伙企业（有限合伙）,杭州,1-1.5万/月,11-11
投资总监,深圳市安卓信创业投资有限公司,深圳,1.5-2万/月,11-11
海归硕士金融资产配置,品今（北京）投资基金管理有限公司,北京-朝阳区,0.8-1万/月,11-10
海归硕士（资产配置岗）,品今（北京）投资基金管理有限公司,北京-朝阳区,1-1.5万/月,11-10
亚博科技-人工智能算法专家,阿里巴巴集团,北京,,11-10
数据技术及产品部-算法专家-杭州,阿里巴巴集团,杭州,,11-10
专户投资部负责人-上海-00068,财通基金管理有限公司,上海,100万以上/年,11-10
研究岗（保险及资管研究方向）,华宝证券有限责任公司,上海,1-2万/月,11-10
高级CTA量化策略分析师（基金经理）,上海泓信投资管理有限公司,上海,2.5-3万/月,11-09
金融研究员（债券市场、票据市场研究方向）,上海福银投资控股集团有限公司,上海,1-3万/月,11-09
高级/助理研究员（基本金属及贵金属）,国泰君安期货有限公司,上海,18-36万/年,11-09
做市业务部交易岗(风险子公司),国泰君安期货有限公司,上海,1.5-2.2万/月,11-09
期权高级研究员,国泰君安期货有限公司,上海,25-50万/年,11-09
场外衍生品部对冲交易岗（风险子公司）,国泰君安期货有限公司,上海,1-1.5万/月,11-09
产品战略部高级经理 (P000295),财通基金管理有限公司,异地招聘,30-50万/年,11-09
产品战略部高级经理 (P000295),财通基金管理有限公司,异地招聘,30-50万/年,11-09
产品战略部高级经理 (P000295),财通基金管理有限公司,异地招聘,30-50万/年,11-09
股权投资经理,浙银钜鑫（杭州）资本管理有限公司,深圳-福田区,2-4万/月,11-09
金融/经济研究员,浙银钜鑫（杭州）资本管理有限公司,深圳-福田区,0.8-1.5万/月,11-09
部门总经理助理,泰拓融资租赁（上海）有限公司,上海-浦东新区,4.5-6千/月,11-09
文本大数据分析师,中经网数据有限公司,北京-西城区,0.5-1万/月,11-09
风控主管,诺德基金管理有限公司,上海-浦东新区,1.2-1.8万/月,11-08
大宗商品行业研究员（方正物产）,北大方正物产集团有限公司,北京-海淀区,1-2万/月,11-08
经纪业务督导岗,财通证券股份有限公司,杭州-西湖区,1-1.5万/月,11-08
区域投行专职合规管理人员,财通证券股份有限公司,北京,1-1.5万/月,11-08
销售经理助理,西部利得基金管理有限公司,北京-东城区,10-20万/年,11-08
市场部渠道负责人,西部利得基金管理有限公司,上海-浦东新区,40-50万/年,11-08
基金经理助理,西部利得基金管理有限公司,上海-浦东新区,20-30万/年,11-08
商务拓展经理,西部利得基金管理有限公司,上海-浦东新区,15-30万/年,11-08
产品经理,西部利得基金管理有限公司,上海-浦东新区,25-35万/年,11-08
销售团队负责人,西部利得基金管理有限公司,北京-东城区,40-50万/年,11-08
信用评级/信用分析师,西部利得基金管理有限公司,上海-浦东新区,15-30万/年,11-08
（高级）投资经理/基金经理,西部利得基金管理有限公司,上海-浦东新区,35-60万/年,11-08
销售经理（机构）,西部利得基金管理有限公司,上海-浦东新区,20-30万/年,11-08
市场部机构负责人,西部利得基金管理有限公司,上海-浦东新区,40-50万/年,11-08
产品经理-IBD,北京四维图新科技股份有限公司,北京-海淀区,1-2万/月,11-08
产品经理-HLW,北京四维图新科技股份有限公司,北京-海淀区,1-2万/月,11-08
量化策略研究员招聘,上海微投股权投资基金管理有限公司,上海-浦东新区,2.5-3万/月,11-08
游戏商务,广州虎牙信息科技有限公司,广州-番禺区,1.3-1.8万/月,11-08
商业化高级产品经理,广州虎牙信息科技有限公司,广州-番禺区,2-3.5万/月,11-08
编辑（知识付费方向）,中信出版集团股份有限公司,北京-朝阳区,0.6-1.2万/月,11-08
新媒体编辑（市场部）,中信出版集团股份有限公司,北京-朝阳区,0.7-1.4万/月,11-08
行业研究员,深圳前海凯岩资产管理有限公司,深圳-福田区,1.5-2万/月,11-08
证券事务岗,华金证券股份有限公司,上海-浦东新区,1-1.5万/月,11-07
营销管理岗,华金证券股份有限公司,上海-浦东新区,1-1.5万/月,11-07
PB业务支持岗,华金证券股份有限公司,上海-浦东新区,1-1.5万/月,11-07
证券事务高级经理,华金证券股份有限公司,上海-浦东新区,2-2.5万/月,11-07
渠道管理岗,华金证券股份有限公司,上海-浦东新区,1-1.5万/月,11-07
国企出版社-----图书编辑,人民东方（北京）书业有限公司,北京-东城区,0.8-1万/月,11-07
投资研究岗（建材化工行业）,安信证券股份有限公司,深圳,1.5-2万/月,11-07
风控人员,安信证券股份有限公司,深圳,1.5-2万/月,11-07
资深信用研究员,安信证券股份有限公司,深圳,1.5-2万/月,11-07
股票投资经理,安信证券股份有限公司,深圳,1.5-2万/月,11-07
投行业务岗(深圳),安信证券股份有限公司,深圳-福田区,1.5-2万/月,11-07
ABS承做岗,安信证券股份有限公司,深圳,1.5-2万/月,11-07
QDII投资经理,安信证券股份有限公司,深圳,1.5-2万/月,11-07
投资研究岗（机械电新行业）,安信证券股份有限公司,深圳,1.5-2万/月,11-07
投行业务岗(（并购重组方向））,安信证券股份有限公司,异地招聘,1.5-2万/月,11-07
投行业务岗(北京)-并购融资部,安信证券股份有限公司,北京-西城区,1.5-2万/月,11-07
投行业务岗(北京),安信证券股份有限公司,北京,1.5-2万/月,11-07
投行业务岗(深圳),安信证券股份有限公司,深圳,1.5-2万/月,11-07
绿色金融分析师/高级分析师,东方金诚国际信用评估有限公司,北京,0.8-1万/月,11-07
国家主权评级分析师/高级分析师,东方金诚国际信用评估有限公司,北京,0.8-1万/月,11-07
结构融资分析师/高级分析师,东方金诚国际信用评估有限公司,北京,0.8-1万/月,11-07
金融业务分析师/高级分析师,东方金诚国际信用评估有限公司,上海,0.8-1万/月,11-07
公用事业分析师/高级分析师,东方金诚国际信用评估有限公司,北京,0.8-1万/月,11-07
机构服务体系建设岗,华泰期货有限公司,深圳-福田区,2-2.5万/月,11-07
机构服务岗（项目管理）（农产品、有色、黑色、能化）,华泰期货有限公司,深圳-福田区,2-2.5万/月,11-07
产业项目经理,华泰期货有限公司,深圳-福田区,2-2.5万/月,11-07
PTA/MEG研究员,华泰期货有限公司,深圳-福田区,1.5-2万/月,11-07
PTA/MEG研究员,华泰期货有限公司,异地招聘,1.5-2万/月,11-07
机器学习量化研究员,华泰期货有限公司,深圳-福田区,15-20万/年,11-07
股指期货研究岗,华泰期货有限公司,深圳-福田区,20-30万/年,11-07
黑色建材研究员,华泰期货有限公司,异地招聘,1-1.5万/月,11-07
黑色建材研究员,华泰期货有限公司,异地招聘,1-1.5万/月,11-07
黑色建材研究员,华泰期货有限公司,深圳-福田区,1-1.5万/月,11-07
国债期货研究助理,华泰期货有限公司,深圳-福田区,1-1.5万/月,11-07
宏观策略研究岗,华泰期货有限公司,深圳-福田区,1.5-2万/月,11-07
商品策略研究岗,华泰期货有限公司,深圳-福田区,20-30万/年,11-07
原油衍生品研究助理,华泰期货有限公司,深圳-福田区,1-1.5万/月,11-07
化工研究员,华泰期货有限公司,异地招聘,1.5-2万/月,11-07
化工研究员,华泰期货有限公司,深圳-福田区,1.5-2万/月,11-07
有色研究员,华泰期货有限公司,深圳-福田区,20-30万/年,11-07
黑色建材研究员,华泰期货有限公司,深圳-福田区,1-1.5万/月,11-07
研究员（白糖）,华泰期货有限公司,上海,1.5-2万/月,11-07
动力煤研究员,华泰期货有限公司,异地招聘,1.5-2万/月,11-07
动力煤研究员,华泰期货有限公司,上海,1.5-2万/月,11-07
外汇期货研究岗,华泰期货有限公司,上海,20-30万/年,11-07
股指期货研究岗,华泰期货有限公司,上海,1.5-2万/月,11-07
宏观策略研究岗,华泰期货有限公司,上海,1.5-2万/月,11-07
黑色建材实习生,华泰期货有限公司,深圳-福田区,2-3千/月,11-07
有色实习生,华泰期货有限公司,上海,2-3千/月,11-07
黑色建材实习生,华泰期货有限公司,上海,2-3千/月,11-07
黑色建材研究员,华泰期货有限公司,上海,1-1.5万/月,11-07
有色研究员,华泰期货有限公司,上海,20-30万/年,11-07
留学生储备管理（带薪培训）,徽仁芃盈资产管理（上海）有限公司,上海-静安区,0.8-1万/月,11-07
基金经理助理/研究员,易知（北京）投资有限责任公司,北京-西城区,0.7-3万/月,11-06
基金经理助理/研究员,易知（北京）投资有限责任公司,北京-西城区,0.7-3万/月,11-06
基金经理助理/研究员,易知（北京）投资有限责任公司,北京-西城区,1-1.5万/月,11-06
基金经理助理/研究员,易知（北京）投资有限责任公司,北京-西城区,0.7-3万/月,11-06
基金经理助理/研究员,易知（北京）投资有限责任公司,北京-西城区,0.8-3万/月,11-06
基金经理助理/研究员,易知（北京）投资有限责任公司,北京-西城区,0.7-3万/月,11-06
基金经理助理/研究员,易知（北京）投资有限责任公司,北京-西城区,0.7-3万/月,11-06
信用业务风险管理岗,五矿证券有限公司,深圳,1-1.5万/月,11-06
风险监测岗,五矿证券有限公司,深圳,0.8-1万/月,11-06
投资银行事业部保荐代表人团队负责人,五矿证券有限公司,深圳,2-4万/月,11-06
投资银行事业部保荐代表人团队负责人,五矿证券有限公司,异地招聘,2-4万/月,11-06
投资银行事业部保荐代表人团队负责人,五矿证券有限公司,异地招聘,2-4万/月,11-06
投资银行事业部保荐代表人团队负责人,五矿证券有限公司,异地招聘,2-4万/月,11-06
法务、高级投资经理,深圳市昆石投资有限公司,深圳-南山区,1.5-2.5万/月,11-06
法务、风控助理,深圳市昆石投资有限公司,深圳-南山区,6.9-9.9千/月,11-06
高级投资经理,深圳市昆石投资有限公司,北京-海淀区,1-1.5万/月,11-06
互联网平台系统架构师,上海慧岸企业发展有限公司,上海,2-2.5万/月,11-06
AI高级工程师,上海慧岸企业发展有限公司,上海,2-2.5万/月,11-06
Business & Financial Services-Senior Consultant,弗若斯特沙利文（北京）咨询有限公司上海分公司,上海-徐汇区,1-1.5万/月,11-06
FOF基金研究员,深圳前海川谷信息技术有限公司,北京-朝阳区,1.5-3万/月,11-05
公募基金研究负责人,深圳前海川谷信息技术有限公司,北京-朝阳区,1.5-3万/月,11-05
高级量化投资经理（总监）,深圳前海川谷信息技术有限公司,北京-朝阳区,1.5-2万/月,11-05
金融工程研究员,深圳前海川谷信息技术有限公司,北京-朝阳区,1.5-2万/月,11-05
研究员,北京融城教育咨询有限公司,北京-西城区,1.2-2.4万/月,11-05
社长助理,《中国医药导报》杂志社,北京-朝阳区,5-8千/月,11-05
行业研究员,格上财富,北京,1-1.8万/月,11-05
助理量化投资经理,天演资本,异地招聘,50-100万/年,11-05
助理量化投资经理,天演资本,异地招聘,50-100万/年,11-05
助理量化投资经理,天演资本,上海-浦东新区,50-100万/年,11-05
期权策略研究员,天演资本,异地招聘,50-100万/年,11-05
期权策略研究员,天演资本,异地招聘,50-100万/年,11-05
期权策略研究员,天演资本,异地招聘,50-100万/年,11-05
期权策略研究员,天演资本,上海-浦东新区,50-100万/年,11-05
金融工程师,天演资本,上海-浦东新区,50-100万/年,11-05
合规兼综合（深圳八卦一路营业部）,华福证券有限责任公司,深圳-福田区,0.8-1万/月,11-05
私募证券基金策划顾问,前海企加速孵化器（深圳）有限公司,深圳,1.5-5万/月,11-05
投资研究岗,太平投资控股有限公司,北京-西城区,30-40万/年,11-05
行业研究员（TMT行业）,上海度库资产管理合伙企业（有限合伙）,杭州,1-1.5万/月,11-04
项目经理（财务方向+硕士优先）,驴妈妈旅游网,上海-普陀区,0.7-1.4万/月,11-04
研究总监(旅游),上海大游网络科技有限公司,上海-静安区,1.5-2万/月,11-03
高级投资经理/投资经理,上海国鑫投资发展有限公司,上海-徐汇区,20-30万/年,11-03
风控经理,上海国鑫投资发展有限公司,上海-徐汇区,20-30万/年,11-03
衍生品风控岗,华泰长城资本管理有限公司,深圳-福田区,1.5-2万/月,11-03
合规兼综合（深圳彩田路营业部）,华福证券有限责任公司,深圳-福田区,1-1.5万/月,11-03
行业研究员（校）,建信期货有限责任公司,上海-浦东新区,8-10万/年,11-02
投资经理,深圳市前海诚帮金融服务有限公司,广州-天河区,30-40万/年,11-02
策划编辑,北京八本坊文化传播有限公司,北京-海淀区,6-8千/月,11-02
产品经理,宽凳（北京）科技有限公司,北京-朝阳区,0.8-2万/月,11-02
华福证券天河路证券营业部合规综合专员,华福证券有限责任公司,广州-越秀区,1-1.5万/月,11-02
工商企业分析师/高级分析师,东方金诚国际信用评估有限公司,北京,0.8-1万/月,11-02
投资经理,上海复星高科技（集团）有限公司,异地招聘,1.5-2万/月,11-02
证券市场  首席行业分析师,深圳市前海诚帮金融服务有限公司,深圳-南山区,2-2.5万/月,11-02
阿拉伯语编辑（2019届校园招聘）,外语教学与研究出版社,北京,0.8-1万/月,11-02
信息科技部安全管理岗,华福证券有限责任公司,上海,2-2.5万/月,11-02
华福证券上海静安区北京西路合规兼综合人员,华福证券有限责任公司,上海-静安区,1.5-1.5万/月,11-02
数字产品经理,科学出版社职教技术出版中心,北京-海淀区,15-20万/年,11-02
数据科学家（大数据应用部）,北京四维智联科技有限公司,北京-海淀区,3-5万/月,11-01
首席数据科学家（大数据应用部）,北京四维智联科技有限公司,北京-海淀区,3-5万/月,11-01
交易策略师,上海普兰金融服务有限公司,上海,1-1.5万/月,11-01
股权投资业务总监,深圳麦高控股股份有限公司,深圳-福田区,2-2.5万/月,10-31
投行业务总监,深圳麦高控股股份有限公司,深圳-福田区,2-2.5万/月,10-31
权益投资部-权益投资研究助理,中电投先融（上海）资产管理有限公司,上海-黄浦区,10-20万/年,10-31
产品设计与研究部-助理研究员,中电投先融（上海）资产管理有限公司,上海-黄浦区,10-20万/年,10-31
产品设计与研究部 部门经理（负责人）,中电投先融（上海）资产管理有限公司,上海-黄浦区,25-60万/年,10-31
权益类投资经理,中电投先融（上海）资产管理有限公司,上海-黄浦区,30-80万/年,10-31
Model Validator(风控模型验证),美国道富,杭州,1-1.5万/月,10-30
Risk Analyst(风险量化分析),美国道富,杭州,15-20万/年,10-30
投资分析总监——资产配置,上海复星高科技（集团）有限公司,上海-黄浦区,1.5-2.5万/月,10-30
结构融资分析师,中证鹏元资信评估股份有限公司,深圳,1-1.5万/月,10-30
数量模型分析师,中证鹏元资信评估股份有限公司,深圳,2-3万/月,10-30
机构服务经理,中证鹏元资信评估股份有限公司,上海,10-15万/年,10-30
结构融资评级分析师,中证鹏元资信评估股份有限公司,深圳,10-15万/年,10-30
信用评级分析师（上海）,中证鹏元资信评估股份有限公司,上海-浦东新区,1-1.2万/月,10-30
债券评级分析师（北京市）,中证鹏元资信评估股份有限公司,北京-东城区,1-1.2万/月,10-30
生物医药基金运营经理,杭州和达金融服务有限公司,杭州-江干区,14-16万/年,10-30
生物医药基金行业分析师,杭州和达金融服务有限公司,杭州-江干区,16-18万/年,10-30
生物医药基金投资经理,杭州和达金融服务有限公司,杭州-江干区,19-22万/年,10-30
研究员,国泰元鑫资产管理有限公司,上海-虹口区,15-20万/年,10-30
董事总经理（MD）,国泰元鑫资产管理有限公司,上海-虹口区,80-100万/年,10-30
收益经理(财务),驴妈妈旅游网,上海-普陀区,0.7-1.4万/月,10-30
互联网保险系统开发岗位,中国人民健康保险股份有限公司深圳分公司,异地招聘,1-1.5万/月,10-30
策划编辑,北京八本坊文化传播有限公司,北京-海淀区,6-8千/月,10-29
投资总监（节能环保行业、装备制造行业）,北京智德盛投资顾问有限公司,北京,2-3万/月,10-29
并购项目经理/投行项目经理/注册会计师,北京智德盛投资顾问有限公司,北京-东城区,1-1.5万/月,10-29
国资业务总监,北京智德盛投资顾问有限公司,北京,1-1.5万/月,10-29
并购部总监,北京智德盛投资顾问有限公司,北京,1.5-2万/月,10-29
PPP高级项目经理,广州市天则区域发展研究中心,广州-天河区,6-8千/月,10-29
投行业务存续期督导岗,华福证券有限责任公司,上海-浦东新区,15-20万/年,10-29
风险政策(002097),瓜子二手车,北京-海淀区,1.5-2万/月,10-29
公司产业新闻编辑记者,中国外汇管理杂志社,北京,10-15万/年,10-29
项目经理/收益,驴妈妈旅游网,上海-普陀区,0.8-1万/月,10-28
收益经理(财务),驴妈妈旅游网,上海-普陀区,0.7-1.5万/月,10-28
PE业务人员,上海易懋企业管理有限公司,上海,1-1.5万/月,10-26
并购业务人员,上海易懋企业管理有限公司,上海,1-1.5万/月,10-26
投行项目经理,上海易懋企业管理有限公司,上海,1-1.5万/月,10-26
黑色系商品期货分析师,中电投先融期货股份有限公司,北京-西城区,0.8-1万/月,10-26
医疗项目部经理（干细胞领域）,名微控股集团（上海）有限公司,上海-浦东新区,2-2.5万/月,10-26
投资经理（地产基金）,广东碧桂园资产管理有限公司,深圳,1.5-2万/月,10-26
投资经理,广东碧桂园资产管理有限公司,深圳-福田区,2-2.5万/月,10-26
高级投资咨询顾问,中电投先融期货股份有限公司,北京,1-1.5万/月,10-26
战略发展相关负责人,中电投先融期货股份有限公司,北京,2-2.5万/月,10-26
期权金融研究员,中电投先融期货股份有限公司,北京-西城区,1.2-1.5万/月,10-26
搜索排序经理#3183,美团点评,北京,2-2.5万/月,10-25
排序产品经理#3182,美团点评,北京,2-2.5万/月,10-25
投资总监,上海中屹投资有限公司,上海,2.5-3万/月,10-25
投资总监,上海中屹投资有限公司,上海,30-40万/年,10-25
财富顾问,招商证券股份有限公司广州天河北路证券营业部,广州,0.8-1万/月,10-25
广东分公司业务总监,招商证券股份有限公司广州天河北路证券营业部,广州-天河区,1-1.5万/月,10-25
投资经理（生物医药方向）,深圳澳银资本管理有限公司,深圳-南山区,1.2-2万/月,10-25
期权前台运营,上海中财期货有限公司,上海-徐汇区,0.7-1万/月,10-25
资管风控岗,上海中财期货有限公司,上海-浦东新区,4-7千/月,10-25
资管条线-投资总监,联储证券有限责任公司,北京-朝阳区,2-3.5万/月,10-24
资管条线-研究部总监,联储证券有限责任公司,北京-朝阳区,2.5-3.5万/月,10-24
资管条线-信用研究,联储证券有限责任公司,北京-朝阳区,1.2-2万/月,10-24
资管条线-量化策略研究,联储证券有限责任公司,北京-朝阳区,1.2-2万/月,10-24
资管条线-宏观及债权策略研究,联储证券有限责任公司,北京-朝阳区,1.2-2万/月,10-24
权益类研究员,联储证券有限责任公司,深圳,1.2-2万/月,10-24
权益类及衍生品投资经理,联储证券有限责任公司,深圳,1.2-2万/月,10-24
财富管理总部-FOF投资经理,联储证券有限责任公司,上海-浦东新区,1.5-3万/月,10-24
大投行条线-保荐代表人,联储证券有限责任公司,上海-浦东新区,100万以上/年,10-24
受托管理部-受托管理岗,联储证券有限责任公司,上海-浦东新区,1-1.5万/月,10-24
固定收益事业部-资深宏观利率研究员,联储证券有限责任公司,深圳-福田区,1.2-2万/月,10-24
资管条线-标准化产品交易员,联储证券有限责任公司,上海-浦东新区,0.8-1.2万/月,10-24
私募子公司-风险副总监,联储证券有限责任公司,上海-浦东新区,1.5-2.5万/月,10-24
私募子公司-投资总监,联储证券有限责任公司,上海-浦东新区,2.5-4万/月,10-24
资管分公司-产品设计岗,联储证券有限责任公司,上海-浦东新区,1.8-3万/月,10-24
